loan_id,accountoriginationyear,activeflag,borrowerincome,creditcardtype,currentcreditlimit,cycleendingbalance,cycleendingretailapr,dayspastdue,monthendclosedrevokedflag,originalcreditlimit,producttype,refreshedcreditscoreprimaryborrower
1,2003,0,0,1,6010,2160,12.11,0,0,1070,2,661
2,2004,0,18140,1,530,390,19.16,0,0,870,2,697
3,2005,0,0,1,4630,2850,26.44,0,0,260,2,633
4,2006,0,98460,1,1490,3490,15.75,0,0,290,2,574
5,2006,0,0,1,780,990,18.37,8,0,570,2,693
6,2006,0,10,1,1530,20,25.56,0,0,260,2,699
7,2006,0,329100,1,410,1350,17.95,11,0,340,2,454
8,2007,0,28820,1,2970,2780,25.73,0,0,1380,2,653
9,2007,0,8830,2,5570,10190,20.63,0,0,4070,2,659
10,2007,0,70070,1,1290,300,16.22,0,0,620,2,635
11,2008,0,172390,1,770,930,23.45,0,0,460,2,659
12,2008,0,3940,2,750,440,29.94,0,0,14470,2,618
13,2008,0,37970,1,3290,3710,19.95,0,0,2040,2,689
14,2008,0,0,1,5880,4930,12.61,0,0,330,2,689
15,2009,0,115640,1,8380,3710,26.87,0,0,3190,2,667
16,2009,0,94020,1,4730,1230,25.27,0,0,1350,2,601
17,2009,1,117140,1,2710,2930,27.64,29,1,1290,2,683
18,2009,0,183500,1,3130,2390,21.56,0,0,860,2,568
19,2009,0,11600,1,1340,370,24.63,0,0,340,2,611
20,2009,0,6920,1,3220,3200,12.78,0,0,640,2,654
21,2009,0,71520,1,2850,2600,20.74,0,0,380,2,568
22,2009,0,9600,1,1030,700,7.54,0,0,490,2,693
23,2009,0,180,1,3640,2570,18.54,0,0,4080,2,598
24,2009,0,226340,1,840,610,7.96,0,0,430,2,630
25,2010,0,247080,1,5320,2670,12.69,0,0,2260,2,595
26,2010,0,385250,1,3700,3430,15.79,0,0,160,2,671
27,2010,0,109780,1,1390,710,28.23,0,0,720,2,665
28,2010,0,23410,1,22080,1590,11.31,0,0,950,2,693
29,2010,0,21840,1,2580,560,26.2,0,0,1410,2,658
30,2010,0,87610,1,2720,1800,13.78,0,0,2170,2,645
31,2010,0,311070,1,5740,9790,10.27,0,0,12960,2,682
32,2010,0,20240,1,1760,2870,12.22,0,0,490,2,676
33,2011,0,161370,1,470,370,8.61,0,0,460,2,621
34,2011,0,30090,1,220,770,13.29,0,0,1500,2,556
35,2011,0,5970,2,1420,1480,25.52,0,0,840,2,588
36,2011,0,22780,1,2630,1570,8.18,0,0,6430,2,609
37,2012,0,293670,1,2670,1700,11.54,0,0,2220,2,632
38,2012,0,255130,1,4850,4830,11.07,0,0,7480,1,691
39,2012,0,23410,1,11730,6550,12.31,0,0,800,2,669
40,2012,0,6290,1,2350,1180,29.34,0,0,400,2,683
41,2012,0,252980,1,480,570,27.8,0,0,100,2,592
42,2012,0,2720,1,4160,1220,26.24,129,0,410,2,479
43,2012,0,332220,1,2090,1320,27.04,0,0,1110,2,699
44,2013,0,104620,1,930,540,29.57,0,0,460,2,692
45,2013,0,395760,1,1970,1680,22.52,0,0,4030,1,643
46,2013,0,66550,1,3380,1680,14.84,0,0,790,2,670
47,2013,0,26070,1,3250,1900,26.25,0,0,780,2,674
48,2013,0,276870,2,4370,3830,18.97,0,0,460,2,647
49,2013,0,19280,2,5010,790,22.26,0,0,3820,2,697
50,2013,0,24650,1,3860,2490,23.79,0,0,3620,2,697
51,2013,0,82550,1,290,140,24.03,0,0,1070,2,488
52,2013,0,334490,1,12820,11050,14.71,0,0,430,2,648
53,2013,0,26550,1,1910,1110,29.09,0,0,1000,2,542
54,2013,0,22010,1,1420,780,23.11,0,0,420,2,671
55,2013,0,24970,1,2940,450,28.54,0,0,390,2,598
56,2013,0,14060,2,5570,2940,16.26,29,0,460,2,667
57,2013,0,10420,2,1280,90,27.18,0,0,370,2,583
58,2013,0,9280,1,2020,770,26.57,0,0,1510,2,680
59,2013,0,16700,1,19450,7410,26.4,0,0,930,1,636
60,2013,0,37560,2,700,140,21.42,0,0,2030,2,662
61,2013,0,127740,1,2270,840,18.58,4,0,1210,2,604
62,2013,0,119050,1,4630,3920,15.2,0,0,3010,2,647
63,2014,0,46850,1,5480,760,26.96,0,0,1830,2,661
64,2014,1,73640,1,220,580,20.95,91,1,900,2,497
65,2014,0,93530,1,2590,2080,17.75,0,0,4050,2,673
66,2014,0,7910,1,6340,3610,9.75,6,0,1150,1,624
67,2014,0,56650,1,8960,490,27.84,0,0,1450,2,638
68,2014,0,8970,1,860,860,12.74,10,0,510,2,515
69,2014,0,9320,1,3400,670,24.14,0,0,550,2,638
70,2014,0,52580,1,2420,1160,20.56,0,0,660,2,673
71,2014,0,10790,1,4540,3200,19.8,0,0,1860,1,592
72,2014,0,26510,1,3340,870,22.69,0,0,640,2,620
73,2014,0,0,1,4040,1080,15.65,0,0,3140,2,672
74,2014,0,118690,1,8580,5640,9.46,0,0,590,2,640
75,2015,0,9660,1,1920,460,21.66,0,0,490,2,642
76,2015,0,48750,1,4040,2260,17.94,0,0,250,2,695
77,2015,0,314470,1,5180,7250,24.96,0,0,5300,1,694
78,2015,0,42950,1,3970,1360,28.09,0,0,2280,2,602
79,2015,0,26550,1,6360,620,12.24,0,0,520,2,638
80,2015,0,25680,1,8680,2280,21.14,0,0,270,2,562
81,2015,0,105580,1,6680,2640,18.79,0,0,1560,2,692
82,2015,0,200020,1,4450,1700,14.84,49,0,1530,2,682
83,2015,0,15420,1,2900,4030,23.97,1,0,1260,1,581
84,2015,0,13090,2,1930,550,4.01,0,0,3500,2,689
85,2015,0,45710,1,13480,10090,21.0,0,0,1600,2,696
86,2016,0,13450,2,600,250,22.69,0,0,360,2,654
87,2016,0,27320,1,450,220,16.01,0,0,270,2,571
88,2016,0,19130,1,3630,2360,22.63,0,0,800,2,609
89,2016,0,124070,1,4000,4690,11.63,0,0,820,2,693
90,2016,0,119740,1,3780,2300,29.26,0,0,910,2,616
91,2016,0,27010,1,3840,9580,25.0,0,0,1770,1,696
92,2016,0,95800,1,1440,8320,25.67,0,0,5870,2,654
93,2016,0,129200,1,1800,900,13.16,0,0,810,2,595
94,2016,0,34610,1,2040,1480,12.6,0,0,640,2,596
95,2016,0,22980,1,9450,5570,19.76,0,0,1580,1,677
96,2016,0,9780,1,2550,2010,24.17,0,0,720,2,679
