loan_id,accountoriginationyear,activeflag,borrowerincome,creditcardtype,currentcreditlimit,cycleendingbalance,cycleendingretailapr,dayspastdue,monthendclosedrevokedflag,originalcreditlimit,producttype,refreshedcreditscoreprimaryborrower
1,2003,0,10,1,5300,1290,13.96,0,0,1350,2,659
2,2003,0,0,1,3990,5060,11.82,0,0,1730,2,694
3,2003,0,51510,1,9340,110,12.49,0,0,7520,2,797
4,2005,0,13210,1,2600,1050,26.37,0,0,1420,2,708
5,2005,0,2620,1,17420,4580,12.88,0,0,2000,2,759
6,2005,0,10,1,860,2390,6.53,0,0,930,2,761
7,2005,0,2780,1,1900,7280,14.63,0,0,1400,2,647
8,2006,0,52590,1,12850,2160,3.05,0,0,14070,2,759
9,2006,0,71590,1,12080,500,18.31,0,0,4810,2,794
10,2006,0,33770,1,4400,4400,12.39,0,0,1010,2,662
11,2006,0,127590,1,6530,3130,15.95,0,0,18800,2,815
12,2006,0,64450,1,5330,1200,23.83,0,0,5800,2,731
13,2006,0,4440,1,7530,290,16.32,0,0,4730,2,801
14,2006,0,10,1,540,860,24.43,0,0,180,2,662
15,2007,0,10,1,7200,3270,19.58,0,0,200,2,708
16,2007,0,489080,1,11280,370,12.54,0,0,3200,2,654
17,2007,0,118060,1,9240,1910,13.85,0,0,6250,2,780
18,2007,0,17900,1,5020,1560,14.28,0,0,350,2,788
19,2007,0,113450,1,700,350,23.16,0,0,400,2,630
20,2008,0,57910,1,10140,650,8.25,0,0,19150,2,768
21,2008,0,86310,1,15950,820,12.45,0,0,20600,2,822
22,2008,0,0,1,7490,1320,16.5,0,0,760,2,716
23,2008,0,95140,1,6780,290,24.1,0,0,450,2,589
24,2009,0,6870,1,8260,8520,10.62,0,0,1450,2,798
25,2009,0,58830,1,21690,3910,19.32,0,0,9370,2,827
26,2009,0,5780,2,10370,180,19.6,0,0,4890,2,747
27,2009,0,230920,1,1360,920,26.18,0,0,970,2,610
28,2009,0,78840,1,4480,1590,20.08,0,0,2310,2,653
29,2009,0,125620,1,4400,480,7.48,0,0,5850,2,728
30,2009,0,0,1,7480,2440,12.53,0,0,4710,2,635
31,2009,0,10,1,4370,1170,12.05,0,0,7350,2,777
32,2010,0,139010,1,19810,4550,12.03,0,0,23870,1,791
33,2010,0,54410,1,2560,5210,20.53,0,0,1080,2,782
34,2010,0,35180,1,4780,2600,28.59,0,0,4450,2,831
35,2010,0,11010,1,3750,810,7.62,0,0,7430,2,825
36,2010,0,0,1,6850,520,27.25,0,0,5160,2,798
37,2010,0,113960,1,2510,5900,22.47,49,0,200,2,547
38,2010,0,217020,1,12550,70,7.65,0,0,13810,1,766
39,2010,0,0,1,6300,16380,12.19,0,0,3270,2,694
40,2010,0,272690,1,16660,13090,17.51,0,0,4530,2,794
41,2010,0,29530,2,4220,60,18.6,0,0,3120,2,789
42,2010,0,153820,1,1930,710,6.13,0,0,1540,2,684
43,2011,0,243380,1,26240,350,17.82,0,0,12510,1,800
44,2011,0,463150,2,11280,10990,19.62,0,0,8880,2,627
45,2011,0,79870,1,19910,2270,18.19,0,0,9500,2,715
46,2011,0,38440,1,9570,920,18.66,0,0,870,2,811
47,2011,0,37890,1,2440,11680,12.46,6,0,2200,2,683
48,2011,0,73530,1,3940,11780,9.98,0,0,11140,2,667
49,2011,0,6780,1,9340,7480,14.2,6,0,2910,2,753
50,2011,0,194750,1,2890,150,20.63,0,0,1410,2,799
51,2011,0,540,1,4480,1930,7.99,0,0,3310,1,666
52,2011,0,278710,1,740,1000,28.95,0,0,160,2,518
53,2012,0,58150,2,4900,580,10.14,0,0,1280,2,761
54,2012,0,10050,1,25590,90,10.49,0,0,10290,1,748
55,2012,0,82660,1,5780,690,19.77,0,0,7770,2,813
56,2012,0,199170,1,3780,2440,14.04,0,0,290,2,782
57,2012,0,11520,1,550,2690,17.4,0,0,360,2,490
58,2012,0,127680,2,1230,570,11.35,0,0,800,2,690
59,2012,0,20410,2,880,190,28.12,0,0,800,2,811
60,2012,0,61100,1,1760,290,9.52,0,0,530,2,664
61,2012,0,71180,1,400,200,10.57,0,0,240,2,527
62,2012,0,12980,1,7130,5730,27.0,0,0,2010,2,597
63,2012,0,63140,1,4410,1380,11.48,0,0,8930,1,697
64,2012,0,116020,1,7850,1860,22.8,0,0,1000,2,804
65,2012,0,120240,1,18190,4330,12.02,0,0,26930,2,648
66,2012,0,62050,1,2370,2900,9.96,0,0,2670,2,684
67,2012,0,17910,1,1470,190,11.78,0,0,10480,1,841
68,2013,0,26400,1,24200,2840,9.68,0,0,480,2,699
69,2013,0,5140,1,2130,290,25.87,0,0,520,2,669
70,2013,0,19580,1,2920,1620,18.31,0,0,100,2,607
71,2013,0,340840,1,1990,1550,13.65,0,0,5960,2,727
72,2013,0,132750,1,21860,2480,9.35,0,0,2960,1,811
73,2013,0,58820,1,700,250,19.31,44,0,200,2,559
74,2013,0,58350,1,10620,220,28.37,0,0,4930,1,816
75,2013,0,81870,1,6970,1640,29.81,0,0,2480,2,535
76,2013,0,181070,1,4820,2650,25.34,0,0,190,2,809
77,2013,0,202170,1,9520,2460,6.09,0,0,5740,2,814
78,2013,0,90640,1,1600,680,12.65,0,0,510,2,592
79,2013,0,25930,1,4420,1630,27.78,0,0,3140,2,724
80,2013,0,6920,1,900,310,18.96,0,0,400,2,697
81,2014,0,16430,1,10800,140,17.04,2,0,6660,1,775
82,2014,0,14830,1,1530,3430,22.36,91,0,2440,2,454
83,2014,0,155340,1,9970,2610,15.75,0,0,2910,1,702
84,2014,0,78880,1,350,1620,21.2,5,0,1200,2,500
85,2014,0,89780,1,5350,3350,13.16,0,0,2140,2,762
86,2014,0,54920,1,1320,130,22.81,0,0,1110,1,834
87,2014,0,2780,1,1240,290,10.87,0,0,570,2,784
88,2014,0,32510,1,9230,5740,12.53,0,0,7710,2,721
89,2014,0,3350,1,9520,2090,25.97,48,0,370,2,662
90,2014,0,6960,1,15020,990,10.93,0,0,5460,2,803
91,2014,0,7510,1,8360,17540,8.42,0,0,16180,2,796
92,2014,0,11480,1,3660,5000,16.37,0,0,960,1,657
93,2014,0,332340,1,4010,250,11.1,0,0,1010,2,793
94,2014,0,31700,2,1090,1180,18.99,0,0,2010,2,722
95,2014,0,58650,1,11090,690,20.45,0,0,7660,2,782
96,2014,0,5480,1,4360,1000,21.89,0,0,700,2,566
97,2014,0,8330,1,7570,2810,11.06,0,0,4980,1,819
98,2015,0,62900,1,10190,3470,20.56,0,0,7230,2,550
99,2015,0,24860,1,3980,7360,13.3,0,0,870,2,693
100,2015,0,12190,1,1750,4980,14.2,47,0,620,2,495
101,2015,0,21620,1,3170,500,25.95,0,0,590,2,670
102,2015,0,15380,2,1700,50,12.29,0,0,250,2,603
103,2015,0,12950,1,11440,1170,15.22,0,0,1340,2,633
104,2015,0,48630,1,26690,5650,12.25,0,0,5770,2,832
105,2015,0,6550,1,4070,19850,14.68,0,0,9630,2,683
106,2015,0,22920,1,5950,2070,11.43,0,0,5110,2,694
107,2015,0,38040,1,6420,1210,11.28,0,0,4610,1,624
108,2015,0,432600,1,3810,120,13.82,0,0,11330,1,770
109,2015,0,72580,1,3040,190,27.59,0,0,1750,2,760
110,2015,0,18820,1,300,110,26.62,0,0,690,1,617
111,2016,0,3480,1,7460,990,16.52,0,0,3180,2,675
112,2016,0,31870,2,2960,3390,20.37,0,0,4240,2,767
113,2016,0,6870,1,570,1210,11.85,0,0,900,2,554
114,2016,0,49620,1,9590,3300,16.52,0,0,4480,2,812
115,2016,0,78500,1,3380,3030,19.21,0,0,9180,1,643
116,2016,0,72060,1,780,440,16.79,0,0,1020,1,691
117,2016,0,1780,2,5170,260,7.41,0,0,800,2,665
118,2016,0,305930,2,1540,1410,17.69,0,0,160,2,614
119,2016,0,74840,1,1650,1360,12.89,0,0,920,2,611
120,2016,0,120860,1,6940,5020,25.47,0,0,9710,2,749
121,2016,0,23040,1,4400,90,20.67,0,0,4300,2,803
122,2016,0,90120,1,7610,2990,9.16,0,0,2220,1,682
123,2016,0,53490,2,4780,730,21.65,0,0,3440,2,713
124,2016,0,8070,1,7430,1940,13.9,0,0,5500,2,722
125,2016,0,181260,1,2360,3150,10.93,0,0,980,2,657
126,2016,0,33410,1,7590,5010,11.39,0,0,1140,2,615
127,2016,0,20280,1,1010,100,20.88,2,0,2100,2,665
128,2016,0,139160,1,11850,1080,19.62,0,0,12370,1,827
129,2016,0,85120,2,1090,440,15.35,0,0,200,2,654
130,2016,0,11660,1,8490,610,20.22,0,0,4570,2,774
131,2017,0,309480,2,3760,2730,13.47,0,0,440,2,634
132,2017,0,20010,1,16450,2700,15.32,0,0,15910,2,836
133,2017,0,12620,1,860,210,16.97,147,0,560,2,450
134,2017,0,56170,1,1210,770,13.31,0,0,840,2,718
135,2017,0,364290,1,13770,14760,9.75,0,0,13370,2,760
136,2017,0,27070,1,2020,530,24.76,16,0,1470,2,548
137,2017,0,344660,1,6320,800,17.25,6,0,1670,2,660
138,2017,0,7680,1,7470,1830,7.78,0,0,2790,2,742
139,2017,0,146910,1,7910,20660,10.43,0,0,4370,2,635
140,2017,0,30550,1,3030,4040,27.24,0,0,360,2,714
141,2017,0,20670,1,1730,590,17.09,0,0,1910,1,710
142,2017,0,30130,1,1260,630,27.32,172,0,630,2,491
143,2017,0,33960,2,2300,640,23.14,0,0,1250,2,645
144,2017,0,63380,1,1150,720,28.47,0,0,820,2,720
145,2017,0,9600,1,6540,1380,16.91,0,0,1720,2,605
146,2017,0,19170,1,6160,4550,6.47,0,0,25270,2,830
147,2017,0,35490,1,4770,2450,15.52,0,0,3710,2,563
